ticker,rows,avg_rolling_volatility,high_volatility_days,negative_news_days,high_position_risk_days,risk_overrides,buy_count,sell_count,hold_count
ADA-USD,3045,0.051607,1031,0,482,499,576,1115,1354
AVAX-USD,1999,0.053901,675,0,334,332,391,682,926
BNB-USD,3045,0.040382,1031,0,610,479,727,0,2318
BTC-USD,4088,0.030817,1385,0,1194,1095,1700,0,2388
DOGE-USD,3045,0.054899,1031,0,871,765,1137,0,1908
ETH-USD,3045,0.04065,1031,0,1176,747,1250,0,1795
LINK-USD,3045,0.055806,1031,0,535,518,663,1034,1348
SOL-USD,2162,0.056394,730,0,886,648,802,0,1360
TRX-USD,3045,0.04335,1031,0,348,440,825,956,1264
XRP-USD,3045,0.047015,1031,3045,1108,0,0,2060,985
