ticker,combined_signal,count
ADA-USD,Sell,1115
ADA-USD,Buy,1075
ADA-USD,Hold,855
AVAX-USD,Buy,723
AVAX-USD,Sell,682
AVAX-USD,Hold,594
BNB-USD,Buy,1206
BNB-USD,Sell,981
BNB-USD,Hold,858
BTC-USD,Buy,1658
BTC-USD,Sell,1293
BTC-USD,Hold,1137
DOGE-USD,Sell,1143
DOGE-USD,Buy,1028
DOGE-USD,Hold,874
ETH-USD,Buy,1127
ETH-USD,Sell,1048
ETH-USD,Hold,870
LINK-USD,Buy,1181
LINK-USD,Sell,1034
LINK-USD,Hold,830
SOL-USD,Buy,834
SOL-USD,Sell,712
SOL-USD,Hold,616
TRX-USD,Buy,1265
TRX-USD,Sell,956
TRX-USD,Hold,824
XRP-USD,Sell,1187
XRP-USD,Buy,985
XRP-USD,Hold,873
