ticker,daily_return_mean,daily_return_std,rolling_volatility_mean,rolling_volatility_std,rsi_14_mean,rsi_14_std,macd_mean,macd_std,macd_diff_mean,macd_diff_std,return_7d_mean,return_7d_std,return_14d_mean,return_14d_std,volume_change_mean,volume_change_std,cluster
ADA-USD,0.002558173150180835,0.06538284737084693,0.0516068457680707,0.038671475839036656,49.325409065407314,13.501232302009257,0.0005450512572018741,0.04732426818661752,-4.4211568444145623e-05,0.013532608947990315,0.022968607354034862,0.24700850314880093,0.04874321562529175,0.36749766299342884,0.08391840822415132,0.5369703356987026,1
AVAX-USD,0.0021813644410870994,0.06183207170063406,0.053900789932366425,0.028374067193899875,49.00463051732192,13.331313168646325,0.01781518907822309,2.7278310999467057,-0.0002083018568292981,0.8257282607730362,0.0182409592137899,0.20349837033885468,0.04372627273883593,0.34739232758559874,36.526637648678445,1628.8131030860882,1
BNB-USD,0.0031275791633765854,0.050547971852636105,0.040381710725511576,0.029438785719346112,52.005939789185184,12.664689903445735,1.5036967030997788,16.188946134844926,-0.02366563613072154,4.733856707862806,0.023367823832708173,0.15379663028723883,0.05148747890412981,0.27650329126462475,2.8771788002717615,156.4045333304892,1
BTC-USD,0.001948284246799208,0.035188544656063456,0.030817351975979276,0.016763017860433074,53.32222168827244,13.871132945055951,120.06864545368519,1341.405454406368,-1.3927519609881742,367.8521952070972,0.013885911046435117,0.09523592984463583,0.028604526469729257,0.1419249216900107,0.0604073152485023,0.3967776046935691,2
DOGE-USD,0.00402400987259286,0.09205745605720497,0.05489867905242279,0.07266093574293916,49.07268948810796,12.740069139038434,0.00022381544915185545,0.01168476785660895,-5.051774074186171e-06,0.00353210399447675,0.0326498158704455,0.29835348386050226,0.07296997780470908,0.5242878655671152,0.1258880138985358,1.1723026030781716,0
ETH-USD,0.0016309980150756857,0.04494941717758906,0.04065023534794679,0.018835017038530136,51.202864779699716,13.687428145542372,3.952395180355135,97.49663727789365,-0.12984309945125108,27.95772154620093,0.011830311290222259,0.12418417729229055,0.024545557988993553,0.1863553936401883,0.04996671481212613,0.35122246610087954,1
LINK-USD,0.0031424152046563444,0.06273361952436199,0.05580620864787062,0.028655356741243383,51.02864274915421,12.078832678202101,0.020707970447481475,0.8411925628831127,-0.0003067827932084824,0.26710180894269675,0.022348421606981285,0.1702524101594709,0.046578434738156455,0.2571721701313145,0.11457171129878499,1.622392450680382,1
SOL-USD,0.004101970126652515,0.06379381163330822,0.0563941288238024,0.02891635933827607,51.519075279284664,13.25840545384588,0.2882750821498454,6.3603079975137025,-0.005404465299002209,1.8236593420537455,0.02998099509210789,0.18006481884642367,0.064526888352125,0.2851050782758624,0.100213112673903,0.5508830802730136,1
TRX-USD,0.0033697236818425094,0.06508131582019137,0.043349836081163794,0.04631991759110167,51.87748626578271,12.038093004697958,0.0006549489227082869,0.004646942766790121,-3.981014445116386e-07,0.0015923479135867198,0.03297078985811211,0.3480905002863977,0.08434163317105038,0.8755240348833098,0.053937192760072875,0.4282279572868139,0
XRP-USD,0.0022512661903768107,0.05961164691254126,0.047015335122790027,0.035574030192859686,49.27388928439019,12.468044577837986,0.002812293817797521,0.07258540424786729,-7.215997829700589e-05,0.023143448610611173,0.017970570435510418,0.19203203025198262,0.0416777304651056,0.3334009831057161,0.09154617845038354,0.5910026273563274,1
