ticker,ADA-USD,AVAX-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,LINK-USD,SOL-USD,TRX-USD,XRP-USD
ADA-USD,1.0,0.6652,0.4778,0.5725,0.3618,0.6213,0.5226,0.5417,0.4535,0.6079
AVAX-USD,0.6652,1.0,0.5543,0.5957,0.3046,0.6285,0.6317,0.6036,0.3873,0.5033
BNB-USD,0.4778,0.5543,1.0,0.63,0.2958,0.6209,0.5035,0.5206,0.4067,0.4439
BTC-USD,0.5725,0.5957,0.63,1.0,0.4108,0.7795,0.5641,0.542,0.483,0.5214
DOGE-USD,0.3618,0.3046,0.2958,0.4108,1.0,0.3877,0.3235,0.2492,0.2647,0.3073
ETH-USD,0.6213,0.6285,0.6209,0.7795,0.3877,1.0,0.6499,0.6107,0.4916,0.6
LINK-USD,0.5226,0.6317,0.5035,0.5641,0.3235,0.6499,1.0,0.5665,0.4158,0.4892
SOL-USD,0.5417,0.6036,0.5206,0.542,0.2492,0.6107,0.5665,1.0,0.3575,0.4529
TRX-USD,0.4535,0.3873,0.4067,0.483,0.2647,0.4916,0.4158,0.3575,1.0,0.4372
XRP-USD,0.6079,0.5033,0.4439,0.5214,0.3073,0.6,0.4892,0.4529,0.4372,1.0
